City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Airai,TL,74.66,overcast clouds,-8.93,125.41,Juvinal Martin
10,Cape Town,ZA,70.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
11,Vaini,TO,73.4,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
14,Avarua,CK,73.4,light rain,-21.21,-159.78,Paradise Inn
22,Vanimo,PG,85.55,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
23,Miri,MY,87.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
24,Amboasary,MG,77.0,scattered clouds,-25.03,46.38,DISCOVERY AMBOASARY
26,Banda Aceh,ID,83.98,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
28,Wanning,CN,80.26,clear sky,18.8,110.4,Paradise Hotel
29,Nouadhibou,MR,71.6,overcast clouds,20.93,-17.03,El Medina
33,Mandi Bahauddin,PK,86.4,clear sky,32.58,73.48,MBDIN SCHOOL & HOSTEL
35,Malumfashi,NG,71.91,broken clouds,11.79,7.62,INFINITY CYBER CAFE MALUMFASHI
36,Souillac,MU,77.0,broken clouds,-20.52,57.52,Bils' Villa
37,Cap Malheureux,MU,73.99,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
38,Sambava,MG,78.13,broken clouds,-14.27,50.17,Melrose
40,Butaritari,KI,81.12,moderate rain,3.07,172.79,Isles Sunset Lodge
42,Kishorganj,BD,86.65,broken clouds,24.43,90.77,Wahab Mansion
44,New Norfolk,AU,77.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
48,Maine-Soroa,NE,80.29,overcast clouds,13.21,12.02,
49,Sola,VU,84.2,broken clouds,-13.88,167.55,Ulkel Guest House
50,Ixtapa,MX,81.0,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
51,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
52,Saint-Pierre,RE,78.8,clear sky,-21.34,55.48,Lindsey Hôtel
53,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
54,Dicabisagan,PH,81.12,moderate rain,17.08,122.42,Nancy Montanes Bernardo
55,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
59,Mandera,KE,85.3,light rain,3.94,41.87,Kornesh Hotel and Lodging
61,Hithadhoo,MV,83.66,light rain,-0.6,73.08,Scoop Guest House
63,Rikitea,PF,73.9,overcast clouds,-23.12,-134.97,Pension Maro'i
64,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
66,Tessalit,ML,73.26,overcast clouds,20.2,1.01,
67,Georgetown,MY,86.0,scattered clouds,5.41,100.34,Cititel Penang
68,Bintulu,MY,86.0,scattered clouds,3.17,113.03,900 Boutique INN
76,Bandarbeyla,SO,81.68,clear sky,9.49,50.81,REER XOOSHLE GROUP
78,Hilo,US,78.8,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
79,Lethem,GY,76.19,light rain,3.38,-59.8,Savannah Inn
82,Kandrian,PG,83.91,light rain,-6.22,149.55,Kandrian Station
83,Hermanus,ZA,70.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
86,Nong Bua,TH,86.22,overcast clouds,15.86,100.59,ลภัสรดารีสอร์ท
92,Cabo San Lucas,MX,77.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
98,Podor,MR,75.2,clear sky,16.65,-14.96,La cour du fleuve
99,Fort Wellington,GY,80.22,light rain,6.4,-57.6,TE'AMO Entertainment Park
103,Simao,CN,74.84,scattered clouds,22.79,100.97,Changyu Hotel
105,Port Alfred,ZA,71.53,clear sky,-33.59,26.89,The Halyards Hotel
106,Akyab,MM,84.83,overcast clouds,20.15,92.9,Hotel Memory
107,Popondetta,PG,85.15,few clouds,-8.75,148.25,Timos Transit House
108,Bitung,ID,86.0,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
109,Tocache,PE,71.4,broken clouds,-8.18,-76.51,Marylin Trevejos Rojas
111,Harper,LR,77.85,broken clouds,4.38,-7.72,Screensaver
113,Atuona,PF,77.86,light rain,-9.8,-139.03,Villa Enata
115,Luau,AO,78.82,clear sky,-10.71,22.22,Kimbo Hotel
116,Bahia Honda,CU,77.97,few clouds,22.9,-83.16,Casa Gualberto - Deysi
118,Guane,CU,75.42,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
119,Wamba,NG,76.71,broken clouds,8.93,8.6,Roma Zee Guest House Annex
121,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Atlantis Hotel
124,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
128,Mount Gambier,AU,84.2,few clouds,-37.83,140.77,Commodore on the Park
129,Biltine,TD,86.0,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
138,Katsuura,JP,70.0,light intensity shower rain,35.13,140.3,Katsuura Hotel Mikazuki
141,Iquitos,PE,70.36,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
143,Atar,MR,77.02,overcast clouds,20.52,-13.05,Oumou Elghoura
145,Bolgatanga,GH,76.96,broken clouds,10.79,-0.85,Mama's Place
147,Seddon,AU,84.0,broken clouds,-37.81,144.89,AKOM AT DOCKLANDS
148,Kruisfontein,ZA,70.0,clear sky,-34.0,24.73,Oyster Bay House Rental
149,Chipinge,ZW,77.94,broken clouds,-20.19,32.62,Mutare Club
151,Port Lincoln,AU,74.21,overcast clouds,-34.73,135.87,Port Lincoln Hotel
160,Abu Kamal,SY,75.2,overcast clouds,34.45,40.92,محطة التلفاز
162,Mehtar Lam,AF,70.0,clear sky,34.67,70.21,سلطان غازی بابا مارکیت
