City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2020-11-01 19:45:49,-22.97,-42.03,73.4,69,75,12.75
1,Uspenskaya,RU,2020-11-01 19:46:34,45.76,41.07,56.25,85,100,11.32
2,Saskylakh,RU,2020-11-01 19:46:34,71.92,114.08,-9.26,88,99,10.67
3,Pisco,PE,2020-11-01 19:44:18,-13.7,-76.22,66.2,77,90,9.17
4,Punta Arenas,CL,2020-11-01 19:46:34,-53.15,-70.92,51.8,76,75,17.22
5,Isangel,VU,2020-11-01 19:46:34,-19.55,169.27,77.4,77,10,14.88
6,Albany,US,2020-11-01 19:46:34,42.6,-73.97,48.99,84,100,1.99
7,Mataura,NZ,2020-11-01 19:46:34,-46.19,168.86,48.99,87,66,8.99
8,Upernavik,GL,2020-11-01 19:46:34,72.79,-56.15,16.34,93,96,4.03
9,Lebu,CL,2020-11-01 19:46:20,-37.62,-73.65,57.83,79,7,5.35
10,Namibe,AO,2020-11-01 19:46:35,-15.2,12.15,73.54,70,88,5.17
11,Madras,IN,2020-11-01 19:45:03,13.09,80.28,80.6,94,20,4.47
12,Castro,BR,2020-11-01 19:46:35,-24.79,-50.01,64.69,62,27,8.52
13,Cape Town,ZA,2020-11-01 19:43:14,-33.93,18.42,66.2,72,0,11.41
14,Mar Del Plata,AR,2020-11-01 19:43:27,-38.0,-57.56,66.2,59,0,9.17
15,Avarua,CK,2020-11-01 19:46:05,-21.21,-159.78,77.0,88,50,17.22
16,Grindavik,IS,2020-11-01 19:46:35,63.84,-22.43,37.4,93,75,4.7
17,Sur,OM,2020-11-01 19:41:49,22.57,59.53,70.61,43,0,4.36
18,Kenai,US,2020-11-01 19:46:36,60.55,-151.26,25.0,45,1,18.34
19,Lagoa,PT,2020-11-01 19:46:36,39.05,-27.98,64.6,78,100,20.02
20,Victoria,HK,2020-11-01 19:42:21,22.29,114.16,75.0,73,100,10.36
21,Hithadhoo,MV,2020-11-01 19:45:52,-0.6,73.08,83.23,73,100,11.05
22,Kapaa,US,2020-11-01 19:46:36,22.08,-159.32,80.01,88,1,0.74
23,Bluff,NZ,2020-11-01 19:45:45,-46.6,168.33,48.99,87,100,8.99
24,Busselton,AU,2020-11-01 19:41:37,-33.65,115.33,52.0,95,81,5.79
25,Rikitea,PF,2020-11-01 19:41:48,-23.12,-134.97,74.55,86,77,22.3
26,Egvekinot,RU,2020-11-01 19:46:36,66.32,-179.17,9.93,90,24,3.24
27,Kavieng,PG,2020-11-01 19:42:08,-2.57,150.8,82.81,72,14,7.36
28,Longyearbyen,SJ,2020-11-01 19:46:37,78.22,15.64,32.0,93,0,24.16
29,Ushuaia,AR,2020-11-01 19:46:25,-54.8,-68.3,57.2,58,75,11.41
30,Sitka,US,2020-11-01 19:45:51,57.05,-135.33,44.6,93,90,7.92
31,Jamestown,US,2020-11-01 19:46:35,42.1,-79.24,41.0,93,90,23.04
32,Ust-Kuyga,RU,2020-11-01 19:46:37,70.02,135.6,-15.99,87,99,7.9
33,Puerto Ayora,EC,2020-11-01 19:46:37,-0.74,-90.35,78.8,69,40,18.34
34,Ancud,CL,2020-11-01 19:46:02,-41.87,-73.82,69.01,59,19,8.05
35,Atuona,PF,2020-11-01 19:46:37,-9.8,-139.03,77.99,78,10,15.39
36,Rockport,US,2020-11-01 19:46:38,28.02,-97.05,82.4,32,1,14.99
37,Ahipara,NZ,2020-11-01 19:46:38,-35.17,173.17,66.07,81,100,6.2
38,Barahona,DO,2020-11-01 19:46:38,18.21,-71.1,87.8,62,40,18.34
39,East London,ZA,2020-11-01 19:44:31,-33.02,27.91,66.25,83,81,15.23
40,Acapulco,MX,2020-11-01 19:46:38,16.86,-99.89,86.72,62,39,7.99
41,New Norfolk,AU,2020-11-01 19:46:38,-42.78,147.06,52.0,80,100,1.92
42,Hovd,MN,2020-11-01 19:46:38,48.01,91.64,25.92,88,1,1.21
43,Iqaluit,CA,2020-11-01 19:46:38,63.75,-68.51,10.4,78,40,4.7
44,Saint-Augustin,CA,2020-11-01 19:46:39,51.23,-58.65,37.11,76,100,21.27
45,Qaanaaq,GL,2020-11-01 19:46:39,77.48,-69.36,1.08,74,0,7.56
46,Port Blair,IN,2020-11-01 19:44:12,11.67,92.75,80.19,79,80,3.49
47,Cervo,ES,2020-11-01 19:46:39,43.67,-7.41,69.01,80,16,4.0
48,Bathsheba,BB,2020-11-01 19:46:39,13.22,-59.52,84.2,74,75,20.8
49,Pevek,RU,2020-11-01 19:46:39,69.7,170.31,15.64,90,100,14.29
50,Eureka,US,2020-11-01 19:46:40,40.8,-124.16,66.0,76,1,6.93
51,Bengkulu,ID,2020-11-01 19:46:40,-3.8,102.27,75.18,87,100,3.85
52,Young,UY,2020-11-01 19:46:40,-32.68,-57.63,70.02,51,0,9.46
53,Yerofey Pavlovich,RU,2020-11-01 19:46:40,53.97,121.97,8.2,80,100,6.85
54,Hofn,IS,2020-11-01 19:46:40,64.25,-15.21,39.33,69,0,12.91
55,Kodiak,US,2020-11-01 19:46:40,57.79,-152.41,30.2,54,75,13.87
