City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tiksi,RU,71.69,128.87,-2.56,89,44,6.67,scattered clouds
1,Provideniya,RU,64.38,-173.3,23.0,62,40,3.58,heavy snow
2,Colares,PT,38.8,-9.45,63.0,88,9,3.0,clear sky
3,Mataura,NZ,-46.19,168.86,54.0,68,0,7.0,clear sky
4,Airai,TL,-8.93,125.41,74.66,61,91,2.75,overcast clouds
5,Punta Arenas,CL,-53.15,-70.92,50.0,81,0,6.93,clear sky
6,Balaguer,ES,41.79,0.81,46.4,93,0,1.12,clear sky
7,San Patricio,US,28.02,-97.52,64.4,63,1,11.41,clear sky
8,Kodiak,US,57.79,-152.41,30.2,33,90,12.75,overcast clouds
9,Nikolskoye,RU,59.7,30.79,33.8,97,90,8.95,overcast clouds
10,Cape Town,ZA,-33.93,18.42,70.0,60,0,9.17,clear sky
11,Vaini,TO,-21.2,-175.2,73.4,94,75,8.05,light intensity shower rain
12,Emba,KZ,48.83,58.14,54.59,39,0,12.17,clear sky
13,Talnakh,RU,69.49,88.4,19.4,92,75,4.47,light snow
14,Avarua,CK,-21.21,-159.78,73.4,94,78,13.87,light rain
15,Qujing,CN,25.48,103.78,46.51,84,100,6.11,overcast clouds
16,Shelburne,CA,44.08,-80.2,30.99,92,100,22.06,overcast clouds
17,Mar Del Plata,AR,-38.0,-57.56,57.99,100,0,7.78,clear sky
18,Ushuaia,AR,-54.8,-68.3,53.6,54,75,3.36,broken clouds
19,Bonavista,CA,48.65,-53.11,41.0,80,100,3.36,overcast clouds
20,San Vicente,AR,-26.62,-54.13,53.6,77,0,3.18,light rain
21,Ponta Do Sol,PT,32.67,-17.1,68.0,56,20,6.93,few clouds
22,Vanimo,PG,-2.67,141.3,85.55,65,100,4.65,overcast clouds
23,Miri,MY,4.41,114.01,87.8,74,40,6.93,scattered clouds
24,Amboasary,MG,-25.03,46.38,77.0,69,40,20.8,scattered clouds
25,Bredasdorp,ZA,-34.53,20.04,66.2,77,85,14.99,overcast clouds
26,Banda Aceh,ID,5.56,95.32,83.98,73,100,9.62,light rain
27,Margate,GB,51.38,1.39,62.01,87,100,8.01,overcast clouds
28,Wanning,CN,18.8,110.4,80.26,69,3,15.17,clear sky
29,Nouadhibou,MR,20.93,-17.03,71.6,56,100,10.29,overcast clouds
30,Thompson,CA,55.74,-97.86,30.2,92,90,9.17,overcast clouds
31,Watford,GB,51.66,-0.4,63.0,77,45,25.28,scattered clouds
32,Nemuro,JP,43.32,145.57,59.0,77,75,11.41,moderate rain
33,Mandi Bahauddin,PK,32.58,73.48,86.4,13,0,1.63,clear sky
34,Busselton,AU,-33.65,115.33,69.01,59,80,8.28,light rain
35,Malumfashi,NG,11.79,7.62,71.91,32,78,11.7,broken clouds
36,Souillac,MU,-20.52,57.52,77.0,53,75,9.17,broken clouds
37,Cap Malheureux,MU,-19.98,57.61,73.99,60,68,5.01,broken clouds
38,Sambava,MG,-14.27,50.17,78.13,52,70,12.77,broken clouds
39,Ahipara,NZ,-35.17,173.17,64.26,90,30,6.49,scattered clouds
40,Butaritari,KI,3.07,172.79,81.12,82,19,13.96,moderate rain
41,Torbay,CA,47.67,-52.73,43.0,80,75,18.34,broken clouds
42,Kishorganj,BD,24.43,90.77,86.65,65,83,1.88,broken clouds
43,Barrow,US,71.29,-156.79,26.6,63,75,9.17,broken clouds
44,New Norfolk,AU,-42.78,147.06,77.0,27,100,1.01,overcast clouds
45,Turayf,SA,31.67,38.66,64.4,77,0,4.7,clear sky
46,Arraial Do Cabo,BR,-22.97,-42.03,67.68,75,55,16.71,light rain
47,Smithers,CA,54.78,-127.17,42.8,93,75,4.7,broken clouds
48,Maine-Soroa,NE,13.21,12.02,80.29,23,100,15.84,overcast clouds
49,Sola,VU,-13.88,167.55,84.2,94,75,16.06,broken clouds
50,Ixtapa,MX,20.7,-105.2,81.0,83,75,3.42,broken clouds
51,Kahului,US,20.89,-156.47,78.8,74,1,5.01,clear sky
52,Saint-Pierre,RE,-21.34,55.48,78.8,47,0,10.29,clear sky
53,Salalah,OM,17.02,54.09,82.4,45,0,5.82,clear sky
54,Dicabisagan,PH,17.08,122.42,81.12,82,100,6.71,moderate rain
55,Carnarvon,AU,-24.87,113.63,73.4,53,0,17.22,clear sky
56,Danilov,RU,58.19,40.17,35.6,93,90,6.71,light intensity drizzle
57,Payson,US,40.04,-111.73,53.01,64,1,4.61,clear sky
58,Jamestown,US,42.1,-79.24,34.0,86,90,24.16,light rain
59,Mandera,KE,3.94,41.87,85.3,56,94,12.84,light rain
60,Chuy,UY,-33.7,-53.46,50.34,89,0,4.07,clear sky
61,Hithadhoo,MV,-0.6,73.08,83.66,69,100,8.14,light rain
62,Pozo Colorado,PY,-23.49,-58.8,64.13,59,0,5.95,clear sky
63,Rikitea,PF,-23.12,-134.97,73.9,84,91,22.73,overcast clouds
64,Kapaa,US,22.08,-159.32,73.4,94,90,4.7,light rain
65,Albany,US,42.6,-73.97,36.0,69,0,8.21,clear sky
66,Tessalit,ML,20.2,1.01,73.26,25,100,23.2,overcast clouds
67,Georgetown,MY,5.41,100.34,86.0,74,40,9.17,scattered clouds
68,Bintulu,MY,3.17,113.03,86.0,79,40,2.24,scattered clouds
69,Kiama,AU,-34.68,150.87,66.99,71,17,1.01,few clouds
70,Vila Velha,BR,-20.33,-40.29,68.0,72,75,13.87,broken clouds
71,Roma,US,43.21,-75.46,35.6,64,90,11.41,moderate rain
72,Qaanaaq,GL,77.48,-69.36,2.66,74,72,5.44,broken clouds
73,Sitka,US,57.05,-135.33,57.2,87,90,38.03,light rain
74,Vyssi Brod,CZ,48.62,14.31,55.99,100,100,10.0,overcast clouds
75,Coquimbo,CL,-29.95,-71.34,55.4,87,90,3.36,overcast clouds
76,Bandarbeyla,SO,9.49,50.81,81.68,68,1,20.65,clear sky
77,Norman Wells,CA,65.28,-126.83,5.0,77,75,5.82,light snow
78,Hilo,US,19.73,-155.09,78.8,74,75,3.06,broken clouds
79,Lethem,GY,3.38,-59.8,76.19,86,100,1.3,light rain
80,Saldanha,ZA,-33.01,17.94,66.2,63,0,1.12,clear sky
81,Lagoa,PT,39.05,-27.98,62.29,64,5,14.03,clear sky
82,Kandrian,PG,-6.22,149.55,83.91,74,41,3.76,light rain
83,Hermanus,ZA,-34.42,19.23,70.0,72,58,5.99,broken clouds
84,Hovd,MN,48.01,91.64,35.94,71,55,3.62,broken clouds
85,Saskylakh,RU,71.92,114.08,-4.86,90,92,9.04,overcast clouds
86,Nong Bua,TH,15.86,100.59,86.22,69,100,3.44,overcast clouds
87,Lavrentiya,RU,65.58,-171.0,20.79,90,0,8.7,clear sky
88,Pisco,PE,-13.7,-76.22,64.4,88,90,9.17,overcast clouds
89,Saint George,US,37.1,-113.58,59.0,18,1,3.83,clear sky
90,Okha,RU,53.57,142.95,42.42,96,100,7.2,light rain
91,Esperance,AU,-33.87,121.9,66.2,100,40,8.05,scattered clouds
92,Cabo San Lucas,MX,22.89,-109.91,77.0,75,3,1.01,clear sky
93,Priladozhskiy,RU,59.85,31.48,30.0,99,31,11.27,scattered clouds
94,Paramonga,PE,-10.67,-77.83,60.35,88,78,6.26,broken clouds
95,Tasiilaq,GL,65.61,-37.64,24.8,58,0,5.82,clear sky
96,Beyneu,KZ,45.32,55.2,65.73,24,5,18.77,clear sky
97,Dunedin,NZ,-45.87,170.5,55.0,65,29,5.5,scattered clouds
98,Podor,MR,16.65,-14.96,75.2,53,0,8.32,clear sky
99,Fort Wellington,GY,6.4,-57.6,80.22,80,100,8.59,light rain
100,Port Elizabeth,ZA,-33.92,25.57,66.2,82,40,9.17,scattered clouds
101,Podporozhye,RU,60.91,34.17,30.67,95,0,6.89,clear sky
102,Cidreira,BR,-30.18,-50.21,60.06,63,0,3.47,clear sky
103,Simao,CN,22.79,100.97,74.84,75,32,3.53,scattered clouds
104,Aykhal,RU,66.0,111.5,6.8,84,75,8.95,broken clouds
105,Port Alfred,ZA,-33.59,26.89,71.53,63,1,21.65,clear sky
106,Akyab,MM,20.15,92.9,84.83,73,96,6.67,overcast clouds
107,Popondetta,PG,-8.75,148.25,85.15,64,20,4.92,few clouds
108,Bitung,ID,1.45,125.18,86.0,70,40,4.7,scattered clouds
109,Tocache,PE,-8.18,-76.51,71.4,73,79,0.36,broken clouds
110,Rocha,UY,-34.48,-54.33,47.88,90,0,2.64,clear sky
